codigo_do_ativo,empresa,serie,emissao,ipo,situacao,isin,registro_cvm_da_emissao,data_de_registro_cvm_da_emissao,registro_cvm_do_programa,data_de_registro_cvm_do_programa,data_de_emissao,data_de_vencimento,motivo_de_saida,data_de_saida_novo_vencimento,data_do_inicio_da_rentabilidade,data_do_inicio_da_distribuicao,data_da_proxima_repactuacao,ato_societario_1,data_do_ato_1,ato_societario_2,data_do_ato_2,forma,garantia_especie,classe,quantidade_emitida,artigo_14,artigo_24,quantidade_em_mercado,quantidade_em_tesouraria,quantidade_resgatada,quantidade_cancelada,quantidade_convertida_no_snd,quantidade_convertida_fora_do_snd,quantidade_permutada_no_snd,quantidade_permutada_fora_do_snd,unidade_monetaria,valor_nominal_na_emissao,valor_nominal_atual,data_ult_vna,indice,tipo,criterio_de_calculo,dia_de_referencia_para_indice_de_precos,criterio_para_indice,corrige_a_cada,percentual_multiplicador_rentabilidade,limite_da_tjlp,tipo_de_tratamento_do_limite_da_tjlp,juros_criterio_antigo_do_snd,premios_criterio_antigo_do_snd,amortizacao_taxa,amortizacao_cada,amortizacao_unidade,amortizacao_carencia,amortizacao_criterio,tipo_de_amortizacao,juros_criterio_novo_taxa,juros_criterio_novo_prazo,juros_criterio_novo_cada,juros_criterio_novo_unidade,juros_criterio_novo_carencia,juros_criterio_novo_criterio,juros_criterio_novo_tipo,premio_criterio_novo_taxa,premio_criterio_novo_prazo,premio_criterio_novo_cada,premio_criterio_novo_unidade,premio_criterio_novo_carencia,premio_criterio_novo_criterio,premio_criterio_novo_tipo,participacao_taxa,participacao_cada,participacao_unidade,participacao_carencia,participacao_descricao,banco_mandatario,agente_fiduciario,instituicao_depositaria,coordenador_lider,cnpj,deb_incent_lei_12_431,escritura_padronizada,resgate_antecipado,data_captura,conjunto,arquivo_origem,registro_hash
AAJR11,FILADELFIA SECURITIZADORA S/A,UNI,001,-,Registrado,BRAAJRDBS002,AUT/OTS/PRI/2025/112,2025-06-24,,,2025-06-23,2029-06-27,,2029-06-27,2025-06-30,2025-06-24,-,AGE,2025-04-01,,,Escritural,Quirografária,Simples,100000,,,000000100000,000000000000,000000000000,,,000000000000,,000000000000,R$,1000,1000,2026-06-10,DI,,Padrão - SND,,-,,100,0,-,-,,-,0012,MES,2026-06-25,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,3.5,252,0012,MES,2026-06-25,Útil,Exponencial,,-,,,,-,-,0,,-,,,BANCO BRADESCO S/A,PLANNER CV S/A,BANCO BRADESCO S/A,FILADELFIA SECURITIZADORA S/A,31907982000123,N,,N,2026-06-10,debêntures___características_de_emissões,,162861a9f0d35c7278ca3bd4
AALM11,AURA ALMAS MINERACAO S.A.,UNI,001,-,Excluído,BRAALMDBS009,DISPENSA ICVM 476/09,2021-07-19,,,2021-07-13,2026-07-13,,2026-07-13,2021-07-20,2021-07-20,-,AGE,2021-07-13,,,Escritural,Real,Simples,400000,,,000000000000,000000000000,000000400000,,,000000000000,,000000000000,R$,1000,500.00025,2024-11-18,DI,,Padrão - SND,,-,,100,0,-,-,,-,0012,MES,2023-07-13,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,4.35,252,0006,MES,2022-01-13,Útil,Exponencial,,-,,,,-,-,0,,-,,,,OLIVEIRA TRUST DTVM S/A,OLIVEIRA TRUST DTVM  S/A,BCO BTG PACTUAL S/A,08213823000107,N,,S,2026-06-10,debêntures___características_de_emissões,,97906c526088266ad2fa81bb
AALM12,AURA ALMAS MINERACAO S.A.,UNI,002,-,Registrado,BRAALMDBS017,AUT/DEB/PRI/2024/652,2024-10-16,,,2024-10-02,2030-10-02,,2030-10-02,2024-10-18,2024-10-16,-,AGE,2024-09-08,,,Escritural,Real,Simples,1000000,,,000001000000,000000000000,000000000000,,,000000000000,,000000000000,R$,1000,1000,2026-06-10,DI,,Padrão - SND,,-,,100,0,-,-,,-,0006,MES,2027-10-02,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,1.6,252,0006,MES,2025-04-02,Útil,Exponencial,,-,,,,-,-,0,,-,,,ITAU UNIBANCO S.A.,OLIVEIRA TRUST DTVM S/A,ITAU CV S/A,ITAU UNIBANCO HOLDING S.A,08213823000107,N,,S,2026-06-10,debêntures___características_de_emissões,,196d625295f063bb773374ee
AALR11,ALLIANCA SAUDE E PARTICIPACOES S.A.,001,001,-,Excluído,BRAALRDBS008,DISPENSA ICVM 476/09,2017-10-13,,,2017-09-01,2020-09-01,,2020-09-01,2017-10-16,2017-10-16,-,RCA,2017-07-21,RCA,2017-08-01,Escritural,Quirografária,Simples,16850,,,000000000000,000000000000,000000016850,,,000000000000,,000000000000,R$,10000,10000,2020-09-01,DI,,Padrão - SND,,-,,116,0,-,-,,-,-,,-,-,-,,,0006,MES,2018-03-01,-,-,,-,,,,-,-,0,,-,,,ITAU UNIBANCO S.A.,PENTAGONO S/A DTVM,ITAU CV S/A,BANCO ITAU-BBA S/A,42771949001883,N,,S,2026-06-10,debêntures___características_de_emissões,,5f3b01b81b4bfca07a49c06e
AALR12,ALLIANCA SAUDE E PARTICIPACOES S.A.,001,002,-,Excluído,BRAALRDBS024,DISPENSA ICVM 476/09,2019-08-16,,,2019-07-15,2025-07-15,,2025-07-15,2019-08-19,2019-08-19,-,RCA,2019-07-09,RCA,2019-07-25,Escritural,Quirografária,Simples,35000,,,000000000000,000000000000,000000035000,,,000000000000,,000000000000,R$,10000,5610.424048,2022-11-07,DI,,Não Padrão - SND,,-,,100,0,-,3.5% a.a 252 dias,,-,0012,MES,2022-07-15,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,0,,,,,,,0,,,,,,,0,,-,,,BANCO BRADESCO S/A,PENTAGONO S/A DTVM,BANCO BRADESCO S/A,XP INVESTIMENTOS CCTVM S/A,42771949001883,N,,S,2026-06-10,debêntures___características_de_emissões,,6238e1a4cb374761d0f5a75a
AALR13,ALLIANCA SAUDE E PARTICIPACOES S.A.,UNI,003,-,Registrado,BRAALRDBS057,DISPENSA ICVM 476/09,2022-10-12,,,2022-10-04,2027-10-04,,2027-10-04,2022-10-18,2022-09-22,-,RCA,2022-09-30,,,Escritural,Quirografária,Simples,400000,,,000000000000,000000000000,000000400000,,,000000000000,,000000000000,R$,1000,562.499576,2026-06-10,DI,,Padrão - SND,,-,,100,0,-,-,,-,0006,MES,2024-04-04,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,2.75,252,0006,MES,2023-04-04,Útil,Exponencial,,-,,,,-,-,0,,-,,,,VORTX DTVM LTDA.,,BR PARTNERS BANCO DE INVESTIMENTO S.A.,42771949001883,N,,S,2026-06-10,debêntures___características_de_emissões,,8166d2355e8ca8c50b20c1a6
AALR21,ALLIANCA SAUDE E PARTICIPACOES S.A.,002,001,-,Excluído,BRAALRDBS016,DISPENSA ICVM 476/09,2017-10-13,,,2017-09-01,2022-09-01,,2022-09-01,2017-10-16,2017-10-16,-,RCA,2017-07-21,RCA,2017-08-01,Escritural,Quirografária,Simples,10150,,,000000000000,000000000000,000000010150,,,000000000000,,000000000000,R$,10000,10000,2020-11-04,DI,,Padrão - SND,,-,,118,0,-,-,,50,0012,MES,2021-09-01,-,Percentual fixo sobre o valor nominal de emissão em períodos uniformes,,,0006,MES,2018-03-01,-,-,,-,,,,-,-,0,,-,,,ITAU UNIBANCO S.A.,PENTAGONO S/A DTVM,ITAU CV S/A,BANCO ITAU-BBA S/A,42771949001883,N,,S,2026-06-10,debêntures___características_de_emissões,,09c88ad660bf87e068ea2520
AALR22,ALLIANCA SAUDE E PARTICIPACOES S.A.,002,002,-,Excluído,BRAALRDBS032,DISPENSA ICVM 476/09,2019-08-15,,,2019-07-15,2025-07-15,,2025-07-15,2019-08-16,2019-08-16,-,RCA,2019-07-09,RCA,2019-07-25,Escritural,Quirografária,Simples,10003,,,000000010003,000000000000,000000000000,,,000000000000,,000000000000,R$,10000,10000,2020-12-07,DI,,Não Padrão - SND,,-,,100,0,-,3% a.a 252 dias,,-,0012,MES,2022-07-15,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,0,,,,,,,0,,,,,,,0,,-,,,BANCO BRADESCO S/A,PENTAGONO S/A DTVM,BANCO BRADESCO S/A,XP INVESTIMENTOS CCTVM S/A,42771949001883,N,,S,2026-06-10,debêntures___características_de_emissões,,0dc3695d8f6aff3be6fa7590
AALR32,ALLIANCA SAUDE E PARTICIPACOES S.A.,003,002,-,Excluído,BRAALRDBS040,DISPENSA ICVM 476/09,2019-08-14,,,2019-07-15,2025-07-15,,2025-07-15,2019-08-15,2019-08-15,-,RCA,2019-07-09,RCA,2019-07-25,Escritural,Quirografária,Simples,9254,,,000000009254,000000000000,000000000000,,,000000000000,,000000000000,R$,10000,10000,2020-12-07,DI,,Não Padrão - SND,,-,,100,0,-,3% a.a 252 dias,,-,0012,MES,2022-07-15,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,0,,,,,,,0,,,,,,,0,,-,,,BANCO BRADESCO S/A,PENTAGONO S/A DTVM,BANCO BRADESCO S/A,XP INVESTIMENTOS CCTVM S/A,42771949001883,N,,S,2026-06-10,debêntures___características_de_emissões,,a36dceaf4ae3211e22b7c806
AARJ11,AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A,UNI,001,-,Excluído,BRAARJDBS002,DISPENSA ICVM 476/09,2015-01-15,,,2014-12-08,2021-12-08,,2021-12-08,2014-12-08,2015-01-16,-,AGE,2014-11-21,RCA,2014-11-21,Escritural,Real,Simples,500,,,000000000000,000000000000,000000000500,,,000000000000,,000000000000,R$,100000,38317.673123,2020-01-08,DI,,Padrão - SND,,-,,100,0,-,-,,4.7619,0003,MES,2016-12-08,-,Percentual fixo sobre o valor nominal de emissão em períodos uniformes,3,252,0003,MES,2015-03-08,Útil,Exponencial,,-,,,,-,-,0,,-,,,ITAU UNIBANCO S.A.,PLANNER TRUSTEE DTVM LTDA,ITAU CV S/A,,19624745000150,N,n,S,2026-06-10,debêntures___características_de_emissões,,c339d7ec3024abe837a7f3c1
AARJA1,AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A,UNI,011,-,Excluído,BRAARJDBS010,DISPENSA ICVM 476/09,2020-01-02,,,2019-12-23,2025-12-23,,2025-12-23,2020-01-08,2020-01-08,-,AGE,2019-12-17,,,Escritural,Quirografária,Simples,90000,,,000000000000,000000000000,000000090000,,,000000000000,,000000000000,R$,1000,666.672,2024-03-12,DI,,Padrão - SND,,-,,100,0,-,-,,-,0006,MES,2023-06-23,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,3.5,252,0006,MES,2022-06-23,Útil,Exponencial,,-,,,,-,-,0,,-,,,,VORTX DTVM LTDA.,,BCO VOTORANTIM S/A,19624745000150,N,,S,2026-06-10,debêntures___características_de_emissões,,fd211b2f6e96c197332a8224
AARJA2,AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A,UNI,012,-,Registrado,BRAARJDBS028,AUT/DEB/PRI/2024/050,2024-02-27,,,2024-02-23,2029-02-23,,2029-02-23,2024-03-01,2024-02-27,-,AGE,2024-02-19,,,Escritural,Real,Simples,100000,,,000000100000,000000000000,000000000000,,,000000000000,,000000000000,R$,1000,666.665278,2026-06-10,DI,,Padrão - SND,,-,,100,0,-,-,,-,0006,MES,2026-02-23,-,Percentual variável sobre o valor nominal atualizado em períodos uniformes,3.35,252,0006,MES,2024-08-23,Útil,Exponencial,,-,,,,-,-,0,,-,,,,VORTX DTVM LTDA.,,BANCO SANTANDER (BRASIL) S/A,19624745000150,N,,S,2026-06-10,debêntures___características_de_emissões,,0761327b0202e1c4e135a736
AASN11,ALLONDA AMBIENTAL SANEAMENTO S.A.,UNI,001,-,Excluído,BRAASNDBS002,DISPENSA ICVM 476/09,2022-05-16,,,2022-05-14,2023-01-09,,2023-01-09,2022-05-24,2022-05-06,-,AGE,2022-05-05,,,Escritural,Real,Simples,150000,,,000000000000,000000000000,000000028000,,,000000000000,,000000000000,R$,1000,1000,2023-01-09,PRÉ,,Não Padrão - SND,,-,,-,0,-,20% a.a 252 dias,,-,-,,-,-,-,0,,,,,,,0,,,,,,,0,,-,,,,VORTX DTVM LTDA.,,OSLO CAPITAL DTVM S.A.,17894611000123,N,,S,2026-06-10,debêntures___características_de_emissões,,5f57195c67e5b0f3eb244b0c
ABC11,PARTICIPACOES ABC S/A,001,001,Não,Excluído,BRPTABDBS011,SEP/GER/DEB - 95/046,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,1176,0,0,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,47c5ebc6faeb554e5c1bf8b7
ABC12,PARTICIPACOES ABC S/A,010,001,-,Excluído,BRPTABDBS0A8,SEP/GER/DEB - 95/055,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,7545ffbab92c81914ac587b5
ABC13,PARTICIPACOES ABC S/A,019,001,-,Excluído,BRPTABDBS0J9,SEP/GER/DEB - 95/064,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,29f71407e6188b139f6e7829
ABC21,PARTICIPACOES ABC S/A,002,001,-,Excluído,BRPTABDBS029,SEP/GER/DEB - 95/047,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,80636e90e0e8866163879487
ABC22,PARTICIPACOES ABC S/A,011,001,-,Excluído,BRPTABDBS0B6,SEP/GER/DEB - 95/056,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,058cd8de071e625999ff63b6
ABC23,PARTICIPACOES ABC S/A,020,001,-,Excluído,BRPTABDBS0K7,SEP/GER/DEB - 95/065,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,08f8b1ca81adcffd1b14ae2e
ABC31,PARTICIPACOES ABC S/A,003,001,-,Excluído,BRPTABDBS037,SEP/GER/DEB - 95/048,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,37afa3ae366147be53d271c2
ABC32,PARTICIPACOES ABC S/A,012,001,-,Excluído,BRPTABDBS0C4,SEP/GER/DEB - 95/057,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,b3aedede8738ec4d7458f29e
ABC33,PARTICIPACOES ABC S/A,021,001,-,Excluído,BRPTABDBS0L5,SEP/GER/DEB - 95/066,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,bbed584479b12bc9dfe868d3
ABC41,PARTICIPACOES ABC S/A,004,001,-,Excluído,BRPTABDBS045,SEP/GER/DEB - 95/049,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,83995e57cb104df7f8eb3ffc
ABC42,PARTICIPACOES ABC S/A,013,001,-,Excluído,BRPTABDBS0D2,SEP/GER/DEB - 95/058,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,fa8d06591793c5a22ee0f26c
ABC43,PARTICIPACOES ABC S/A,022,001,-,Excluído,BRPTABDBS0M3,SEP/GER/DEB - 95/067,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,102146eb2fe82a217427c9fa
ABC51,PARTICIPACOES ABC S/A,005,001,-,Excluído,BRPTABDBS052,SEP/GER/DEB - 95/050,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,40c63ff0a3ea1efec70d26f1
ABC52,PARTICIPACOES ABC S/A,014,001,-,Excluído,BRPTABDBS0E0,SEP/GER/DEB - 95/059,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,b225f841edcbc75e8a44ec66
ABC61,PARTICIPACOES ABC S/A,006,001,-,Excluído,BRPTABDBS060,SEP/GER/DEB - 95/051,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,748157868fb35e1c6a98dafc
ABC62,PARTICIPACOES ABC S/A,015,001,-,Excluído,BRPTABDBS0F7,SEP/GER/DEB - 95/060,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,80162f2a7592847e457bfa3b
ABC71,PARTICIPACOES ABC S/A,007,001,-,Excluído,BRPTABDBS078,SEP/GER/DEB - 95/052,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,cb1325c229bddd2cdaf3736e
ABC72,PARTICIPACOES ABC S/A,016,001,-,Excluído,BRPTABDBS0G5,SEP/GER/DEB - 95/061,1995-07-19,,,1995-05-23,2012-05-23,15/10/2003 - VENCIMENTO ANTECIPADO,,1997-05-23,1995-07-24,-,AGE,1995-06-22,,,Nominativa,Real,Permutável,44,,,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,000000000000,R$,11727.04,0,2003-09-23,IGP-M,Correção Monetária,Não Padrão - SND,00,DC,,0,0,-,0  000,,0,0000,,-,-,-,0,,,,,,,0,,,,,,,0,0000,-,,,SEM BANCO LIQUIDANTE/MANDATARIO,APORTE DTVM LTDA.,,ITAU UNIBANCO CISÃO PARCIAL  B ITAU BBA,00635156000149,N,n,,2026-06-10,debêntures___características_de_emissões,,f4366046786d7aa41fbee754
