data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-05,AGFS,AGFS,GMAT3,GRUPO MATEUS,ON      NM,413409376,2.110,,
2026-06-05,AGFS,AGFS,HBSA3,HIDROVIAS,ON      NM,518220013,1.971,,
2026-06-05,AGFS,AGFS,RANI3,IRANI,ON      NM,434200080,4.168,,
2026-06-05,AGFS,AGFS,JSLG3,JSL,ON      NM,149434826,1.044,,
2026-06-05,AGFS,AGFS,KEPL3,KEPLER WEBER,ON      NM,191372172,1.491,,
2026-06-05,AGFS,AGFS,KLBN11,KLABIN S/A,UNT     N2,432687821,8.811,,
2026-06-05,AGFS,AGFS,MBRF3,MARFRIG,ON      NM,342727802,6.571,,
2026-06-05,AGFS,AGFS,MILS3,MILLS,ON      NM,117072736,2.165,,
2026-06-05,AGFS,AGFS,BEEF3,MINERVA,ON      NM,644649866,2.804,,
2026-06-05,AGFS,AGFS,RAPT4,RANDON PART,PN      N1,242762844,1.475,,
2026-06-05,AGFS,AGFS,RCSL4,RECRUSUL,PN,1334151327,0.892,,
2026-06-05,AGFS,AGFS,RAIL3,RUMO S.A.,ON      NM,342744473,5.785,,
2026-06-05,AGFS,AGFS,SMTO3,SAO MARTINHO,ON      NM,268623575,5.647,,
2026-06-05,AGFS,AGFS,SLCE3,SLC AGRICOLA,ON      NM,300889571,5.477,,
2026-06-05,AGFS,AGFS,SUZB3,SUZANO S.A.,ON      NM,170881990,8.558,,
2026-06-05,AGFS,AGFS,TUPY3,TUPY,ON      NM,120761340,1.811,,
2026-06-05,AGFS,AGFS,VAMO3,VAMOS,ON      NM,408052194,1.457,,
2026-06-06,AGFS,AGFS,TTEN3,3TENTOS,ON      NM,216464847,3.718,,
2026-06-06,AGFS,AGFS,ABEV3,AMBEV S/A,ON,427038841,8.424,,
2026-06-06,AGFS,AGFS,ARML3,ARMAC,ON      NM,234954742,0.937,,
2026-06-06,AGFS,AGFS,ASAI3,ASSAI,ON      NM,581268840,6.113,,
2026-06-06,AGFS,AGFS,SOJA3,BOA SAFRA,ON      NM,382910526,2.854,,
2026-06-06,AGFS,AGFS,CAML3,CAMIL,ON  ED  NM,301976627,1.820,,
2026-06-06,AGFS,AGFS,CSAN3,COSAN,ON  ATZ NM,1565041054,6.855,,
2026-06-06,AGFS,AGFS,DXCO3,DEXCO,ON      NM,788156234,4.423,,
2026-06-06,AGFS,AGFS,GMAT3,GRUPO MATEUS,ON      NM,413409376,2.058,,
2026-06-06,AGFS,AGFS,HBSA3,HIDROVIAS,ON      NM,518220013,1.884,,
2026-06-06,AGFS,AGFS,RANI3,IRANI,ON      NM,434200080,4.158,,
2026-06-06,AGFS,AGFS,JSLG3,JSL,ON      NM,149434826,1.085,,
2026-06-06,AGFS,AGFS,KEPL3,KEPLER WEBER,ON      NM,191372172,1.478,,
2026-06-06,AGFS,AGFS,KLBN11,KLABIN S/A,UNT     N2,432687821,9.000,,
2026-06-06,AGFS,AGFS,MBRF3,MARFRIG,ON      NM,342727802,6.590,,
2026-06-06,AGFS,AGFS,MILS3,MILLS,ON      NM,117072736,2.180,,
2026-06-06,AGFS,AGFS,BEEF3,MINERVA,ON      NM,644649866,2.894,,
2026-06-06,AGFS,AGFS,RAPT4,RANDON PART,PN      N1,242762844,1.475,,
2026-06-06,AGFS,AGFS,RCSL4,RECRUSUL,PN,1334151327,0.814,,
2026-06-06,AGFS,AGFS,RAIL3,RUMO S.A.,ON      NM,342744473,5.828,,
2026-06-06,AGFS,AGFS,SMTO3,SAO MARTINHO,ON      NM,268623575,5.532,,
2026-06-06,AGFS,AGFS,SLCE3,SLC AGRICOLA,ON      NM,300889571,5.436,,
2026-06-06,AGFS,AGFS,SUZB3,SUZANO S.A.,ON      NM,170881990,8.702,,
2026-06-06,AGFS,AGFS,TUPY3,TUPY,ON      NM,120761340,1.853,,
2026-06-06,AGFS,AGFS,VAMO3,VAMOS,ON      NM,408052194,1.469,,
2026-06-08,AGFS,AGFS,TTEN3,3TENTOS,ON      NM,216464847,3.718,,
2026-06-08,AGFS,AGFS,ABEV3,AMBEV S/A,ON,427038841,8.424,,
2026-06-08,AGFS,AGFS,ARML3,ARMAC,ON      NM,234954742,0.937,,
2026-06-08,AGFS,AGFS,ASAI3,ASSAI,ON      NM,581268840,6.113,,
2026-06-08,AGFS,AGFS,SOJA3,BOA SAFRA,ON      NM,382910526,2.854,,
2026-06-08,AGFS,AGFS,CAML3,CAMIL,ON  ED  NM,301976627,1.820,,
2026-06-08,AGFS,AGFS,CSAN3,COSAN,ON  ATZ NM,1565041054,6.855,,
2026-06-08,AGFS,AGFS,DXCO3,DEXCO,ON      NM,788156234,4.423,,
2026-06-08,AGFS,AGFS,GMAT3,GRUPO MATEUS,ON      NM,413409376,2.058,,
2026-06-08,AGFS,AGFS,HBSA3,HIDROVIAS,ON      NM,518220013,1.884,,
2026-06-08,AGFS,AGFS,RANI3,IRANI,ON      NM,434200080,4.158,,
2026-06-08,AGFS,AGFS,JSLG3,JSL,ON      NM,149434826,1.085,,
2026-06-08,AGFS,AGFS,KEPL3,KEPLER WEBER,ON      NM,191372172,1.478,,
2026-06-08,AGFS,AGFS,KLBN11,KLABIN S/A,UNT     N2,432687821,9.000,,
2026-06-08,AGFS,AGFS,MBRF3,MARFRIG,ON      NM,342727802,6.590,,
2026-06-08,AGFS,AGFS,MILS3,MILLS,ON      NM,117072736,2.180,,
2026-06-08,AGFS,AGFS,BEEF3,MINERVA,ON      NM,644649866,2.894,,
2026-06-08,AGFS,AGFS,RAPT4,RANDON PART,PN      N1,242762844,1.475,,
2026-06-08,AGFS,AGFS,RCSL4,RECRUSUL,PN,1334151327,0.814,,
2026-06-08,AGFS,AGFS,RAIL3,RUMO S.A.,ON      NM,342744473,5.828,,
2026-06-08,AGFS,AGFS,SMTO3,SAO MARTINHO,ON      NM,268623575,5.532,,
2026-06-08,AGFS,AGFS,SLCE3,SLC AGRICOLA,ON      NM,300889571,5.436,,
2026-06-08,AGFS,AGFS,SUZB3,SUZANO S.A.,ON      NM,170881990,8.702,,
2026-06-08,AGFS,AGFS,TUPY3,TUPY,ON      NM,120761340,1.853,,
2026-06-08,AGFS,AGFS,VAMO3,VAMOS,ON      NM,408052194,1.469,,
2026-06-09,AGFS,AGFS,TTEN3,3TENTOS,ON      NM,216464847,3.812,,
2026-06-09,AGFS,AGFS,ABEV3,AMBEV S/A,ON,427038841,8.444,,
2026-06-09,AGFS,AGFS,ARML3,ARMAC,ON      NM,234954742,0.933,,
2026-06-09,AGFS,AGFS,ASAI3,ASSAI,ON      NM,581268840,6.040,,
